embedding,assigned_group,group_corr_sum,n_pairs,max_corr,group_dataset_support,total_corr_sum,assignment_confidence,support_ratio
emb_593,SYNTACTIC,2.1065,4,0.5506,3,2.1065,1.0000,1.0000
emb_219,SYNTACTIC,4.7369,8,0.6809,3,5.8281,0.8128,1.0000
emb_105,SYNTACTIC,8.1447,14,0.6719,3,10.9813,0.7417,1.0000
emb_65,SYNTACTIC,6.0142,10,0.7365,3,8.4797,0.7092,1.0000
emb_179,SYNTACTIC,3.7333,6,0.7097,3,5.4059,0.6906,1.0000
emb_758,SYNTACTIC,4.7893,8,0.6429,3,6.9894,0.6852,1.0000
emb_766,SYNTACTIC,6.8659,12,0.6614,3,10.3590,0.6628,1.0000
emb_101,SYNTACTIC,5.3378,9,0.7359,3,8.2934,0.6436,1.0000
emb_9,SYNTACTIC,8.3605,14,0.6719,3,13.1691,0.6349,1.0000
emb_709,SYNTACTIC,4.0624,7,0.6674,3,6.4255,0.6322,1.0000
emb_276,SYNTACTIC,4.9007,9,0.6064,3,7.8460,0.6246,1.0000
emb_693,SYNTACTIC,4.2320,7,0.7810,3,6.8460,0.6182,1.0000
emb_452,SYNTACTIC,6.9657,12,0.6994,3,11.4339,0.6092,1.0000
emb_678,SYNTACTIC,2.7736,4,0.7852,2,2.7736,1.0000,0.6667
emb_0,SYNTACTIC,2.2508,4,0.6025,2,2.2508,1.0000,0.6667
emb_724,SYNTACTIC,2.1894,4,0.5790,2,2.1894,1.0000,0.6667
emb_20,SYNTACTIC,2.1679,4,0.5488,2,2.1679,1.0000,0.6667
emb_539,SYNTACTIC,1.6807,3,0.6336,2,1.6807,1.0000,0.6667
emb_405,SYNTACTIC,1.6178,3,0.5652,2,1.6178,1.0000,0.6667
emb_204,SYNTACTIC,1.5790,3,0.5383,2,1.5790,1.0000,0.6667
emb_713,SYNTACTIC,1.5539,3,0.5214,2,1.5539,1.0000,0.6667
emb_697,SYNTACTIC,1.5163,3,0.5131,2,1.5163,1.0000,0.6667
emb_360,SYNTACTIC,1.1896,2,0.6775,2,1.1896,1.0000,0.6667
emb_688,SYNTACTIC,1.0526,2,0.5338,2,1.0526,1.0000,0.6667
emb_186,SYNTACTIC,1.0490,2,0.5485,2,1.0490,1.0000,0.6667
emb_84,SYNTACTIC,6.1258,10,0.6392,2,6.7398,0.9089,0.6667
emb_310,SYNTACTIC,4.3633,8,0.6359,2,4.9031,0.8899,0.6667
emb_732,SYNTACTIC,4.9615,8,0.7279,2,5.5820,0.8888,0.6667
emb_487,SYNTACTIC,3.7500,7,0.6211,2,4.2533,0.8817,0.6667
emb_499,SYNTACTIC,4.1594,7,0.7189,2,4.7358,0.8783,0.6667
emb_551,SYNTACTIC,4.9579,8,0.7693,2,5.6535,0.8770,0.6667
emb_1,SYNTACTIC,4.0332,7,0.6998,2,4.6069,0.8755,0.6667
emb_496,SYNTACTIC,4.5605,7,0.7797,2,5.2335,0.8714,0.6667
emb_627,SYNTACTIC,3.5606,6,0.7027,2,4.1235,0.8635,0.6667
emb_240,SYNTACTIC,3.8294,7,0.6248,2,4.4492,0.8607,0.6667
emb_518,SYNTACTIC,3.3339,6,0.5721,2,3.8875,0.8576,0.6667
emb_77,SYNTACTIC,3.8619,6,0.7763,2,4.5074,0.8568,0.6667
emb_59,SYNTACTIC,3.3599,6,0.6215,2,3.9596,0.8485,0.6667
emb_353,SYNTACTIC,2.8322,5,0.6401,2,3.3885,0.8358,0.6667
emb_337,SYNTACTIC,2.3369,4,0.6168,2,2.8695,0.8144,0.6667
emb_168,SYNTACTIC,2.2396,4,0.6072,2,2.7599,0.8115,0.6667
