embedding,assigned_group,group_corr_sum,n_pairs,max_corr,group_dataset_support,total_corr_sum,assignment_confidence,support_ratio
emb_659,SYNTACTIC,2.2916,4,0.6424,3,2.8227,0.8118,1.0000
emb_303,SYNTACTIC,3.2154,6,0.5760,2,3.2154,1.0000,0.6667
emb_287,SYNTACTIC,2.5701,5,0.5360,2,2.5701,1.0000,0.6667
emb_204,SYNTACTIC,2.2350,4,0.6108,2,2.2350,1.0000,0.6667
emb_732,SYNTACTIC,1.7245,3,0.6672,2,1.7245,1.0000,0.6667
emb_254,SYNTACTIC,1.0926,2,0.5556,2,1.0926,1.0000,0.6667
emb_420,SYNTACTIC,1.0564,2,0.5473,2,1.0564,1.0000,0.6667
emb_179,SYNTACTIC,2.5708,4,0.7126,2,3.1150,0.8253,0.6667
emb_678,SYNTACTIC,2.1062,4,0.5393,2,2.6249,0.8024,0.6667
emb_260,SYNTACTIC,2.1096,4,0.5842,2,2.6375,0.7998,0.6667
emb_752,SYNTACTIC,1.7660,3,0.6399,2,2.2870,0.7722,0.6667
emb_474,SYNTACTIC,1.5984,3,0.5834,2,2.1014,0.7606,0.6667
emb_431,SYNTACTIC,1.6182,3,0.5636,2,2.1446,0.7545,0.6667
emb_212,SYNTACTIC,1.7447,3,0.6183,2,2.3214,0.7516,0.6667
emb_286,SYNTACTIC,3.3075,6,0.6955,2,4.4591,0.7417,0.6667
emb_706,SYNTACTIC,1.6165,3,0.5760,2,2.1807,0.7413,0.6667
emb_543,SYNTACTIC,1.5557,3,0.5304,2,2.1090,0.7376,0.6667
emb_335,SYNTACTIC,6.9840,10,0.7765,2,9.4932,0.7357,0.6667
emb_269,SYNTACTIC,4.6769,8,0.6480,2,6.3597,0.7354,0.6667
emb_462,SYNTACTIC,7.6168,13,0.6767,2,10.4443,0.7293,0.6667
emb_686,SYNTACTIC,2.9509,5,0.6399,2,4.0477,0.7290,0.6667
emb_259,SYNTACTIC,3.1102,5,0.7467,2,4.2677,0.7288,0.6667
emb_694,SYNTACTIC,6.0194,11,0.6212,2,8.2649,0.7283,0.6667
emb_603,SYNTACTIC,2.7711,5,0.6451,2,3.8193,0.7256,0.6667
emb_397,SYNTACTIC,2.9959,5,0.7185,2,4.1951,0.7141,0.6667
emb_251,SYNTACTIC,3.1809,5,0.7426,2,4.4923,0.7081,0.6667
emb_595,SYNTACTIC,5.1166,9,0.6288,2,7.2663,0.7042,0.6667
emb_713,SYNTACTIC,4.0241,7,0.6414,2,5.7206,0.7034,0.6667
emb_709,SYNTACTIC,3.0015,5,0.6964,2,4.2949,0.6989,0.6667
emb_219,SYNTACTIC,2.9032,5,0.6759,2,4.1592,0.6980,0.6667
emb_340,SYNTACTIC,2.8526,5,0.7001,2,4.1056,0.6948,0.6667
emb_687,SYNTACTIC,3.1318,5,0.7306,2,4.5216,0.6926,0.6667
emb_76,SYNTACTIC,2.2484,4,0.6221,2,3.2933,0.6827,0.6667
emb_461,SYNTACTIC,2.4901,4,0.6650,2,3.6495,0.6823,0.6667
emb_195,SYNTACTIC,2.3857,4,0.6448,2,3.4984,0.6819,0.6667
emb_0,SYNTACTIC,1.1338,2,0.6028,2,1.6674,0.6800,0.6667
emb_294,SYNTACTIC,1.0945,2,0.5501,2,1.6115,0.6792,0.6667
emb_159,STRUCTURAL,1.2039,2,0.6711,2,1.7735,0.6788,0.6667
emb_97,STRUCTURAL,1.2948,2,0.7170,2,1.9078,0.6787,0.6667
emb_757,SYNTACTIC,7.5549,13,0.6865,2,11.1454,0.6778,0.6667
emb_658,SYNTACTIC,2.3707,4,0.6718,2,3.5087,0.6757,0.6667
emb_689,STRUCTURAL,1.1630,2,0.6374,2,1.7298,0.6723,0.6667
emb_266,STRUCTURAL,1.1326,2,0.6291,2,1.6867,0.6715,0.6667
emb_733,SYNTACTIC,1.2010,2,0.6609,2,1.7934,0.6697,0.6667
emb_500,SYNTACTIC,5.3312,10,0.5769,2,7.9629,0.6695,0.6667
emb_101,SYNTACTIC,2.4625,4,0.6577,2,3.7028,0.6650,0.6667
emb_738,SYNTACTIC,5.1986,9,0.6343,2,7.8352,0.6635,0.6667
emb_539,SYNTACTIC,5.2176,8,0.7088,2,8.0333,0.6495,0.6667
emb_98,SYNTACTIC,3.8559,7,0.6579,2,6.0025,0.6424,0.6667
emb_656,SYNTACTIC,6.9898,12,0.6947,2,10.9392,0.6390,0.6667
emb_343,SYNTACTIC,8.1890,14,0.6791,2,12.8739,0.6361,0.6667
emb_120,SYNTACTIC,3.0185,5,0.7301,2,4.7996,0.6289,0.6667
emb_429,SYNTACTIC,4.8544,8,0.6660,2,7.7443,0.6268,0.6667
emb_209,SYNTACTIC,3.0761,5,0.6400,2,4.9503,0.6214,0.6667
emb_89,SYNTACTIC,3.2671,6,0.5765,2,5.2640,0.6206,0.6667
emb_380,SYNTACTIC,3.0538,5,0.7286,2,4.9213,0.6205,0.6667
emb_322,SYNTACTIC,5.7998,10,0.7673,2,9.3928,0.6175,0.6667
emb_561,SYNTACTIC,1.7506,3,0.6642,2,2.8508,0.6141,0.6667
emb_270,SYNTACTIC,1.6338,3,0.5539,2,2.7134,0.6021,0.6667
emb_700,SYNTACTIC,3.5116,6,0.6838,2,5.8392,0.6014,0.6667
emb_576,STRUCTURAL,1.7279,3,0.6598,2,2.8737,0.6013,0.6667
